Xm,Ym
1027506.600833334,1292128.705666667
1027618.236166695,1292473.318833292
1027467.771333345,1292691.73566665
1027317.3065,1292910.1525
1027166.841666655,1293128.56933335
1027016.376833305,1293346.986166708
1026623.226500024,1293424.645500014
1026380.54100001,1293283.888000006
1026137.8555,1293143.1305
1025895.16999999,1293002.372999994
1025652.484499976,1292861.615499986
1033884.373333348,1294186.677666647
1034029.984666652,1293992.529333353
1034379.451499991,1293900.308999995
1034583.307,1294002.237
1034787.162500009,1294104.165000005
1034862.048142845,1294430.750285736
1034733.078285724,1294655.407571413
1034604.108428568,1294880.064857149
1034475.138571432,1295104.722142851
1034346.168714277,1295329.379428587
1034217.198857155,1295554.036714264
1034018.335600014,1295499.120400058
1033948.442199966,1295219.546799864
1033878.548800034,1294939.973200136
1033808.655399986,1294660.399599942
1034675.52766665,1289507.703333319
1034476.52533335,1289337.823666681
1034401.293,1288920.405
1034748.333333339,1288740.818000002
1034971.603666661,1288808.769999998
1035088.092666652,1289143.675666703
1034981.311333348,1289410.629333297
1032912.418249988,1288694.707749989
1032697.641500012,1288498.132500011
1032482.864750037,1288301.557250034
1032282.6495,1287864.7235
1032584.793000004,1287675.429000001
1032872.375,1287726.393
1033159.956999996,1287777.356999999
1033367.453000006,1288094.061499979
1033287.367,1288359.802
1033207.280999994,1288625.542500021
1029117.746833317,1291891.734500002
1029210.385666647,1291881.131000002
1029303.024499978,1291870.527500003
1029395.663333309,1291859.924000003
1029488.302166675,1291849.320499999
1029659.852799971,1291799.419400014
1029738.764600011,1291760.121799994
1029817.676399989,1291720.824200006
1029896.588200029,1291681.526599986
1029935.4835,1291477.1595
1029828.772666674,1291335.433333341
1029762.078333326,1291268.738666659
1029634.289,1291175.7915
1029322.068,1291031.588
1029185.353999977,1290908.365999974
1029072.917666642,1290780.972666639
1029024.002333359,1290726.396333362
1028930.483400016,1290602.106000026
1028885.879800012,1290532.392000019
1028841.276199988,1290462.677999981
1028796.672599984,1290392.963999975
1028736.371333336,1290246.025333348
1028720.673666664,1290168.800666652
1028719.2265,1289998.775
1028765.496,1289838.838
1028829.017,1289698.3685
1028912.6785,1289562.0305
1029025.2605,1289463.909
1029185.449,1289430.045
1029361.913333316,1289484.653999988
1029438.611666684,1289538.010000012
1029575.335,1289616.3765
1029725.3965,1289771.4415
1029800.427749989,1289901.496499986
1029855.4505,1289971.526
1029910.473250011,1290041.555500014
1030025.520666657,1290148.266999994
1030085.545333343,1290184.949000006
1030212.26433331,1290241.639333326
1030278.95866669,1290261.647666674
1030392.338666592,1290338.346666576
1030439.024333408,1290395.037333424
1030642.442000026,1290565.109000029
1030709.135999974,1290638.472999971
1030817.513833413,1290790.203333484
1030859.197666732,1290868.56966679
1030900.8815,1290946.936
1030942.565333268,1291025.30233321
1030984.249166587,1291103.668666516
1031048.44225,1291267.07075
1031070.9515,1291352.1065
1031093.46075,1291437.14225
1031135.97825,1291614.717
1031155.9865,1291707.256
1031175.99475,1291799.795
1031226.015499996,1291969.866749989
1031256.028,1292047.3995
1031286.040500004,1292124.932250011
1031319.387666669,1292275.829000043
1031322.722333331,1292349.192999957
1031362.738666684,1292485.917000031
1031399.420333316,1292549.276999969
1031492.79233333,1292659.323333331
1031549.48266667,1292706.009666669
1031661.1955,1292772.7045
1031814.258400036,1292796.714600001
1031912.29879998,1292800.716199999
1032010.339200021,1292804.717800001
1032108.379599964,1292808.719399998
1032268.4195,1292795.8
1032425.808999997,1292783.490333333
1032521.199000003,1292788.101666667
1032696.622166663,1292817.723499999
1032776.655333316,1292842.733999995
1032856.6885,1292867.7445
1032936.721666684,1292892.755000005
1033016.754833337,1292917.765500001
1033181.823,1292932.772
1033361.341444438,1292916.098555556
1033455.824888869,1292909.429111112
1033550.308333304,1292902.759666669
1033644.791777753,1292896.090222224
1033739.275222247,1292889.420777776
1033833.758666696,1292882.751333331
1033928.242111131,1292876.081888888
1034022.725555562,1292869.412444444
1034187.237750074,1292892.755500032
1034257.2665,1292922.768
1034327.295249926,1292952.780499968
1034477.813,1292977.925
1034645.750999964,1292925.02900002
1034733.200000036,1292877.00099998
1034901.384333374,1292800.224999986
1034982.119666626,1292771.477000014
1035162.64,1292747.694
1035281.022333353,1292712.679333324
1035344.381666647,1292682.666666676
1035461.096333523,1292582.624666417
1035514.451666477,1292512.595333583
1035584.480666661,1292345.858666701
1035601.154333339,1292249.151333299
1035657.844333307,1292062.406000059
1035697.860666693,1291972.367999941
1035778.112,1291716.5805
1035861.236,1291609.2285
1035980.335999983,1291568.951666668
1036059.692000016,1291562.177333332
1024337.821999921,1289596.590428514
1024412.077999964,1289650.742857117
1024486.333999978,1289704.895285698
1024560.590000022,1289759.047714302
1024634.846000036,1289813.200142883
1024709.102000079,1289867.352571486
1024858.389,1289961.5215
1025028.343666686,1290054.534000011
1025096.512333315,1290094.126999989
1025296.3935,1290194.658
1025406.439,1290269.6895
1025657.051666649,1290518.422333322
1025730.415333351,1290565.108666678
1025850.46499997,1290661.815999968
1025897.15100003,1290711.837000032
1026036.375000037,1290794.371750013
1026128.913,1290826.8855
1026221.450999963,1290859.399249987
1026379.062333281,1290914.181333315
1026444.135666719,1290936.449666685
1026591.6735,1290970.3345
1026761.67399997,1291014.464749989
1026849.21,1291046.9785
1026936.74600003,1291079.492250011
1027069.301,1291147.0205
1027257.712333271,1291248.729666611
1027321.071666729,1291305.420333389
1027460.462399975,1291410.131199984
1027536.493799986,1291458.151399991
1027612.525200014,1291506.171600009
1027688.556600025,1291554.191800016
1028011.356333358,1291655.568000003
1028108.062666642,1291668.906999997
1028274.798,1291747.273
1028404.852,1291832.3085
1028558.248833328,1291860.653833333
1028651.620666689,1291868.990666669
1028744.9925,1291877.3275
1028838.364333311,1291885.664333331
1028931.736166672,1291894.001166667
1035804.784,1291315.9
1035674.7305,1291415.942
1035585.314500009,1291542.186499981
1035552.801,1291612.216
1035520.287499991,1291682.245500019
1035477.770000003,1291835.643333306
1035467.765999997,1291919.011666694
1035431.084333337,1292082.413999989
1035404.406666663,1292162.448000011
1035325.20725,1292310.01025
1035272.6855,1292377.5385
1035220.16375,1292445.06675
1035072.6025,1292532.6035
1034937.5465,1292602.633
1034819.998250031,1292677.66449999
1034742.4665,1292702.675
1034664.934749969,1292727.68550001
1034512.976666671,1292742.143666667
1034438.550333329,1292731.591333333
1034278.484000014,1292714.917666668
1034192.843999986,1292708.796333332
1034010.497666674,1292702.675
1033913.791333326,1292702.675
1033661.7775,1292675.0765
1033549.1955,1292693.668
1033420.776333312,1292739.114000008
1033340.901666688,1292768.033999992
1033172.4475,1292790.89175
1033083.868,1292784.8295
1032995.2885,1292778.76725
1032831.678,1292740.19125
1032756.647,1292707.6775
1032681.616,1292675.16375
1032526.552,1292625.976333333
1032446.519,1292609.302666667
1032294.227,1292591.247
1032169.1755,1292611.2555
1031811.257,1292637.6475
1031642.854333337,1292565.950666669
1031569.490666663,1292519.264333331
1031456.1105,1292417.555
1031429.433,1292272.494
1031442.772,1292182.456
1031458.612,1292002.38025
1031461.113,1291912.3425
1031463.614,1291822.30475
1031456.110833336,1291647.231166689
1031446.106666665,1291562.19533332
1031436.1025,1291477.1595
1031426.098333335,1291392.12366668
1031416.094166664,1291307.087833311
1031382.746999998,1291135.348999993
1031359.404000002,1291048.646000007
1031292.709999985,1290881.909333306
1031249.359000015,1290801.875666694
1031141.981399997,1290659.815799997
1031077.954800021,1290597.78960002
1031013.928199979,1290535.76339998
1030949.901600003,1290473.737200002
1030832.519666665,1290338.346833331
1030779.164333306,1290264.98266663
1030725.809,1290191.6185
1030672.453666694,1290118.25433337
1030619.098333335,1290044.890166669
1030505.718333283,1289924.839666628
1030445.693666717,1289878.153333372
1030320.642,1289766.4395
1030165.578000201,1289659.394400094
1030075.540999861,1289617.376799935
1029985.504000139,1289575.359200065
1029895.466999799,1289533.341599906
1029728.731666749,1289434.633333394
1029652.033333251,1289377.942666606
1029510.308,1289296.2415
1029380.2545,1289241.2185
1029138.487666656,1289214.540666667
1029051.785333344,1289217.875333333
1028899.587000017,1289244.269333327
1028834.090999983,1289267.328666673
1028697.671666671,1289344.78533333
1028626.748333329,1289399.18266667
1028510.379000009,1289539.651999983
1028464.932999991,1289625.724000018
1028405.026999997,1289802.687833351
1028390.567000007,1289893.57966662
1028376.107,1289984.4715
1028361.646999993,1290075.36333338
1028347.187000003,1290166.25516665
1028356.768666769,1290335.346333666
1028380.810333231,1290413.545666334
1028441.533666649,1290575.113333294
1028478.215333351,1290658.481666706
1028584.925888818,1290799.652111053
1028654.954777725,1290857.454222179
1028724.98366664,1290915.256333311
1028795.012555538,1290973.05844443
1028865.041444462,1291030.86055557
1028935.07033336,1291088.662666689
1029005.099222275,1291146.464777821
1029075.128111182,1291204.266888947
1029230.19225001,1291299.584750004
1029315.2275,1291337.1005
1029400.26274999,1291374.616249996
1029580.337,1291432.1405
1029715.3925,1291517.1765
1029728.8555,1291631.317
1029614.853,1291701.087333333
1029527.404,1291721.744666667
1029351.693333333,1291752.362666667
1029263.431666667,1291762.323333333
1029085.132666722,1291765.614333337
1028995.095333324,1291758.944666666
1028813.019999998,1291728.264999999
1028720.981999996,1291704.254999999
1028628.944000004,1291680.245000001
1028536.906000002,1291656.235000001
1028359.833000023,1291597.21020001
1028274.798000028,1291562.195400012
1028189.762999972,1291527.180599988
1028104.727999973,1291492.165799989
1028019.693,1291457.151
1027934.658000027,1291422.136200011
1027849.623000028,1291387.121400012
1027764.587999972,1291352.106599988
1027679.552999977,1291317.091799991
1027325.835142875,1291116.293285727
1027247.231285756,1291060.555571458
1027168.627428585,1291004.817857153
1027090.023571415,1290949.080142847
1027011.419714244,1290893.342428542
1026932.815857125,1290837.604714273
1026794.187285713,1290717.554142855
1026734.162571405,1290653.241285689
1026674.137857182,1290588.928428613
1026614.113142818,1290524.615571387
1026554.088428595,1290460.302714311
1026494.063714287,1290395.989857145
1026358.007600003,1290273.652600002
1026281.976199991,1290215.628199993
1026205.944800009,1290157.603800007
1026129.913399997,1290099.579399998
1025968.291111095,1289999.314999992
1025882.700222236,1289957.075000007
1025797.109333327,1289914.834999997
1025711.518444418,1289872.594999987
1025625.927555582,1289830.355000013
1025540.336666673,1289788.115000003
1025454.745777764,1289745.874999993
1025369.154888905,1289703.635000008
1025203.530999989,1289606.371999993
1025123.498,1289551.349
1025043.465000011,1289496.326000007
1024880.460166497,1289406.133166595
1024797.48833352,1289370.963333412
1024714.5165,1289335.7935
1024631.54466648,1289300.623666588
1024548.572833503,1289265.453833405
1034121.258024408,1291071.366731725
1034052.359048776,1291001.75746341
1033983.460073169,1290932.148195121
1033914.561097563,1290862.538926831
1033845.662121963,1290792.929658549
1033776.763146373,1290723.320390275
1033707.86417074,1290653.71112196
1033638.965195137,1290584.101853673
1033570.066219533,1290514.492585387
1033501.167243904,1290444.883317075
1033432.268268272,1290375.27404876
1033363.369292666,1290305.664780471
1033294.47031706,1290236.055512181
1033225.571341453,1290166.446243892
1033156.67236582,1290096.836975576
1033087.773390239,1290027.227707312
1033018.874414635,1289957.618439026
1032949.975439032,1289888.009170739
1032881.076463398,1289818.399902423
1032812.177487792,1289748.790634133
1032743.278512208,1289679.181365867
1032674.379536602,1289609.572097577
1032605.480560968,1289539.962829261
1032536.581585365,1289470.353560974
1032467.682609761,1289400.744292688
1032398.78363418,1289331.135024424
1032329.884658547,1289261.525756108
1032260.98568294,1289191.916487819
1032192.086707334,1289122.307219529
1032123.187731728,1289052.69795124
1032054.288756096,1288983.088682925
1031985.389780467,1288913.479414613
1031916.490804863,1288843.870146327
1031847.59182926,1288774.26087804
1031778.692853627,1288704.651609725
1031709.793878037,1288635.042341451
1031640.894902437,1288565.433073169
1031571.995926831,1288495.82380488
1031503.096951224,1288426.21453659
1031434.197975592,1288356.605268275
1031265.61130767,1288289.236192308
1031165.92361536,1288291.476384616
1031066.235923075,1288293.716576923
1030966.548230788,1288295.95676923
1030866.860538454,1288298.196961539
1030767.172846131,1288300.437153847
1030667.485153811,1288302.677346155
1030567.797461524,1288304.917538462
1030468.109769237,1288307.157730769
1030368.422076905,1288309.397923077
1030268.73438459,1288311.638115385
1030169.046692262,1288313.878307693
1030069.358999977,1288316.118500001
1029969.671307693,1288318.358692308
1029869.983615365,1288320.598884616
1029770.29592305,1288322.839076924
1029670.608230717,1288325.079269232
1029570.92053843,1288327.319461539
1029471.232846144,1288329.559653846
1029371.545153823,1288331.799846154
1029271.8574615,1288334.040038462
1029172.169769167,1288336.280230771
1029072.48207688,1288338.520423078
1028972.794384621,1288340.760615384
1028873.10669233,1288343.000807692
1032372.469649994,1294158.589032501
1024552.801337914,1290783.725029025
1033171.346771214,1291651.33378524
1027157.032177996,1289143.848605909
1024354.478701539,1291840.132228646
1032425.963068667,1290900.978335463
1030360.217552291,1292536.045483319
1030271.890776132,1287285.087561761
1032273.551852249,1291782.512542245
1025258.014530606,1291252.012887385
1035037.068964319,1290713.575266605
1031727.041427048,1293631.768340887
1031457.851226478,1294577.650795624
1031020.506720693,1289201.045656833
1027446.727072206,1290066.575119472
1034474.126159153,1291915.685711835
1029617.207920342,1292539.911706393
1031641.729083274,1289865.853783083
1024761.054358814,1290406.418203849
1032424.056769986,1294898.942237534
1027792.248037784,1290658.608913712
1028789.011803655,1287498.582213755
1032843.899197179,1293614.835843562
1033601.991312878,1292083.057808251
1028102.456443451,1288789.043678924
1025144.25182988,1290665.694113622
1034938.429327707,1291429.510192591
1029113.258948623,1292223.990098367
1029704.532126234,1290606.06551943
1028453.965808245,1292314.833894324
1026248.662059087,1289107.069877664
1027988.541089524,1287891.548055348
1035123.033402412,1293296.162720493
1031949.292156321,1292169.311935666
1032270.337590343,1290208.45670426
1029267.951188458,1290105.457799119
1029593.793892326,1287549.318144611
1031189.529010321,1287399.937806814
1032378.966749946,1293333.86305629
1033091.214599936,1290994.797174313
1030385.659991509,1288986.613328726
1025358.890121349,1290545.623535109
1024112.385901493,1291182.692774818
1032772.18498168,1292082.348458448
1024281.75978924,1290402.639994673
1031980.579006158,1291267.14515393
1030554.115980065,1291885.821515227
1030168.365286625,1290899.62169374
1032453.934771321,1295417.408314201
1031859.257245694,1290649.438827403
1033727.416768742,1291510.832214024
1030874.388515697,1292895.537405136
1034443.200629268,1290295.430347405
1033461.755104572,1293518.098475369
1029725.80177229,1288833.000235469
1032674.737152429,1291411.77209382
1024646.364898718,1291361.418962643
1031093.24000561,1289742.391493565
1031450.59395251,1293227.114066919
1028638.784595504,1288817.139641053
1035730.54414672,1290767.839738823
1031567.18666559,1289299.606963488
1023799.514198039,1292014.135675
1025807.728956178,1290250.031104679
1034901.290195342,1292087.977394902
1030498.783812051,1291311.62333544
1026816.580790244,1289751.593615948
1027890.782023326,1289377.606131431
1030914.925898099,1295432.644046968
1034080.213994314,1292209.713717399
1029259.697273045,1292523.980801612
1024702.657287875,1292483.294299546
1024841.170431562,1290199.09333867
1024508.908922823,1290156.067289002
1033422.987768924,1292384.343276422
1032240.936608487,1296254.927912364
1030819.557307896,1292302.624710182
1032757.326830341,1290486.750906973
1035593.706882115,1293123.344728688
1030690.936885186,1289517.441651744
1034041.279855051,1293330.027872639
1033891.678307643,1289858.771311516
1033047.438375498,1294480.920170519
1034534.827392671,1292322.049662949
1032003.869273277,1294556.847541697
1028120.293029423,1290994.157605356
1031501.751007188,1290337.569806624
1025601.93351836,1289091.659161095
1032760.858809759,1295912.171045474
1029342.343221689,1290490.154797679
1023830.46564791,1291544.84761431
1029289.570237774,1288771.465376955
1032370.248388735,1292181.808596858
1032118.015241457,1289743.275966936
1031974.757485667,1295006.88356165
1029891.86195992,1292185.349783135
1027873.27136007,1290207.3695146
1030793.351484391,1288779.007949637
1024159.11068433,1290786.251524958
1030011.412060799,1287811.80586174
1028813.95196843,1292193.513534919
1034064.737634714,1291779.955100524
1027344.436705526,1290545.398182059
1032173.104608191,1293743.339786323
1031916.004119352,1294112.491745159
